,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Date of Travel,Sex,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance,Year,Regional code,Country
0,Everest Base Camp Trek,"
$1,420     USD", 16 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,9/13/2022,Non-Binary,31,Government Sector,Yes,400000,6,1,No,No,0,2017,0,total
1,Everest Base Camp Short Trek,"
$1,295     USD", 14 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,9/4/2021,Female,31,Private Sector/Self Employed,Yes,1250000,7,0,No,No,0,2017,40,Afghanistan
2,Everest Base Camp Heli Shuttle Trek,"
$2000 USD", 12 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,1/25/2021,Female,34,Private Sector/Self Employed,Yes,500000,4,1,No,No,1,2017,80,Albania
3,Everest Base Camp Heli Trek,"
$3,300     USD", 11 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,1/28/2022,Non-Binary,28,Private Sector/Self Employed,Yes,700000,3,1,No,No,0,2017,120,Algeria
4,Everest Base Camp Trek for Seniors,"
$1,800     USD", 20 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,10/21/2021,Non-Binary,28,Private Sector/Self Employed,Yes,700000,8,1,Yes,No,0,2017,200,Andra
5,Everest Chola Pass Trek,"
$1,720     USD", 19 Days,Strenuous,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,1/25/2022,Non-Binary,25,Private Sector/Self Employed,No,1150000,4,0,No,No,0,2017,240,Angola
6,Gokyo Lake Renjo La Pass Trek,"
$1,450     USD", 16 Days,Moderate,5360 m,Hotel/Guesthouse,March - May & Sept - Dec.,8/7/2022,Male,31,Government Sector,Yes,1300000,4,0,No,No,0,2017,280,Antigua Berbuda
7,Everest High Passes Trek,"
$1,950     USD", 22 Days,Strenuous,5545 m,Hotel/Guesthouse,April - May & Sept - Nov,1/4/2021,Transgender,31,Private Sector/Self Employed,Yes,1350000,3,0,Yes,Yes,1,2017,310,Azerbaijan
8,Short Everest Trek,"
$1060 USD", 7 Days,Easy To Moderate,3900 m,Hotel/Guesthouse,March - May & Sept - Dec.,6/28/2022,Female,28,Private Sector/Self Employed,Yes,1450000,6,1,Yes,Yes,1,2017,320,Argentina
9,Everest Panorama Trek,"
$1150 USD", 10 Days,Easy To Moderate,3860 m,Hotel/Guesthouse,Jan - May & Sept - Dec,1/31/2020,Female,33,Government Sector,Yes,800000,3,0,Yes,No,0,2017,360,Australia
10,Everest View Trek,"
$1100 USD", 9 Days,Easy To Moderate,3860 m,Hotel/Guesthouse,Jan - May & Sept - Dec,10/11/2020,Transgender,31,Government Sector,Yes,400000,9,1,No,No,0,2017,400,Austria
11,Luxury Everest Base Camp Heli Trek,"
$4,200     USD", 11 Days,Moderate,5545 m,Hotel/Teahouse,March-May & Sept-Dec.,11/14/2020,Non-Binary,26,Private Sector/Self Employed,Yes,1400000,5,0,Yes,Yes,1,2017,440,Bahamas
